# Program:featureCounts v1.6.0; Command:"/home/jqsun/local/bin/featureCounts" "-T" "1" "-s" "1" "-t" "gene" "-g" "ID" "-a" "/home/jqsun/research/data/genome/IWGSC_RefSeq_v1.1_CS/iwgsc_refseqv1.1_genes_2017July06/IWGSC_v1.1_HC_20170706.ext_1.0k.chrD.gff3" "-o" "20181109.A-TaeRS_1_Tae_RS1_18.chrD.counts.homeolog.txt" "20181109.A-TaeRS_1_Tae_RS1_18.chrD.homeolog.ref.bam" 
Geneid	Chr	Start	End	Strand	Length	20181109.A-TaeRS_1_Tae_RS1_18.chrD.homeolog.ref.bam
TraesCS3D02G253100	chr3D	354609994	354619560	+	9567	0
TraesCS3D02G253200	chr3D	354619112	354620035	-	924	0
TraesCS3D02G253300	chr3D	354620035	354622154	-	2120	33
TraesCS3D02G253400	chr3D	355120696	355122169	-	1474	0
TraesCS3D02G253500	chr3D	355162253	355169160	-	6908	1
TraesCS3D02G253600	chr3D	355173489	355177303	+	3815	0
TraesCS3D02G253700	chr3D	355317373	355321237	-	3865	0
TraesCS3D02G253800	chr3D	355414786	355421719	+	6934	0
TraesCS3D02G253900	chr3D	355628329	355634909	+	6581	23
TraesCS3D02G254000	chr3D	355629346	355631141	-	1796	0
TraesCS3D02G254100	chr3D	355704840	355706307	+	1468	0
TraesCS3D02G254200	chr3D	355706085	355706975	-	891	0
TraesCS3D02G254300	chr3D	355746750	355748286	+	1537	0
TraesCS3D02G254400	chr3D	355793527	355796187	-	2661	0
TraesCS3D02G254500	chr3D	355884478	355893581	-	9104	8
TraesCS3D02G254600	chr3D	355990715	355994214	+	3500	0
TraesCS3D02G254700	chr3D	355994875	355997782	+	2908	44
TraesCS3D02G254800	chr3D	356587532	356592472	-	4941	18
TraesCS3D02G254900	chr3D	356622041	356624585	-	2545	0
TraesCS3D02G255000	chr3D	356822286	356823975	+	1690	0
TraesCS3D02G255100	chr3D	356823057	356828101	-	5045	0
TraesCS3D02G255200	chr3D	356848212	356853493	-	5282	0
TraesCS3D02G255300	chr3D	356954007	356956796	-	2790	0
TraesCS3D02G255400	chr3D	357140848	357143753	+	2906	0
TraesCS3D02G255500	chr3D	357145923	357147959	-	2037	0
TraesCS3D02G255600	chr3D	357147959	357153074	-	5116	0
TraesCS3D02G255700	chr3D	357153074	357158612	-	5539	0
TraesCS3D02G255800	chr3D	357421032	357428270	-	7239	0
TraesCS3D02G255900	chr3D	357635372	357643661	+	8290	14
TraesCS3D02G256000	chr3D	357710633	357712772	+	2140	0
TraesCS3D02G256100	chr3D	357797110	357799575	-	2466	0
TraesCS3D02G256200	chr3D	357799812	357804067	-	4256	3
TraesCS3D02G256300	chr3D	358168086	358170601	-	2516	0
TraesCS3D02G256400	chr3D	358187813	358190631	+	2819	0
TraesCS3D02G256500	chr3D	358501895	358504777	-	2883	0
TraesCS3D02G256600	chr3D	358562318	358565192	-	2875	25
TraesCS3D02G256700	chr3D	358679001	358683385	+	4385	3
TraesCS3D02G256900	chr3D	359092168	359094581	+	2414	0
TraesCS3D02G257000	chr3D	359317802	359324276	-	6475	0
TraesCS3D02G257100	chr3D	359511898	359513993	+	2096	14
TraesCS3D02G257200	chr3D	359521040	359522492	+	1453	0
TraesCS3D02G257300	chr3D	359603471	359605191	+	1721	0
TraesCS3D02G257400	chr3D	359630435	359632868	+	2434	0
TraesCS3D02G257500	chr3D	359671853	359679927	-	8075	0
TraesCS3D02G257700	chr3D	360040412	360043611	+	3200	0
TraesCS3D02G257600	chr3D	360040779	360046862	-	6084	0
TraesCS3D02G257800	chr3D	360046967	360049197	-	2231	0
TraesCS3D02G257900	chr3D	360329122	360337123	+	8002	0
TraesCS3D02G258000	chr3D	360396660	360400221	+	3562	37
TraesCS3D02G258100	chr3D	360553086	360560448	+	7363	0
TraesCS3D02G258200	chr3D	360567835	360576498	-	8664	0
TraesCS3D02G258300	chr3D	360580277	360589147	-	8871	1
TraesCS3D02G258400	chr3D	360628237	360631846	+	3610	0
TraesCS3D02G258500	chr3D	360631846	360636942	+	5097	0
TraesCS3D02G258800	chr3D	360693937	360700085	-	6149	0
TraesCS3D02G258900	chr3D	360866821	360871997	-	5177	2
TraesCS3D02G259000	chr3D	360927909	360935466	-	7558	0
TraesCS3D02G259100	chr3D	361057393	361058515	+	1123	0
TraesCS3D02G259200	chr3D	361146785	361147907	+	1123	0
TraesCS3D02G259300	chr3D	361152863	361169212	+	16350	13
TraesCS3D02G259400	chr3D	361369299	361375024	+	5726	0
TraesCS3D02G259500	chr3D	361375058	361376417	-	1360	0
TraesCS3D02G259600	chr3D	361376417	361380204	-	3788	0
TraesCS3D02G259700	chr3D	361383795	361388916	+	5122	0
TraesCS3D02G259800	chr3D	361736744	361740016	+	3273	15
TraesCS3D02G259900	chr3D	361776499	361778314	+	1816	0
TraesCS3D02G260100	chr3D	362068410	362070552	-	2143	0
TraesCS3D02G260200	chr3D	362197206	362202731	-	5526	0
TraesCS3D02G260300	chr3D	362422416	362424679	-	2264	0
TraesCS3D02G260400	chr3D	362429512	362432781	-	3270	0
TraesCS3D02G260500	chr3D	362855419	362857635	+	2217	0
TraesCS3D02G260600	chr3D	362858163	362859927	-	1765	0
TraesCS3D02G260700	chr3D	363051065	363055397	+	4333	22
TraesCS3D02G260800	chr3D	363062670	363074575	-	11906	0
TraesCS3D02G261000	chr3D	363121302	363124857	-	3556	0
TraesCS3D02G261100	chr3D	363249574	363251775	+	2202	0
TraesCS3D02G261200	chr3D	363263839	363265717	+	1879	0
TraesCS3D02G261300	chr3D	363265745	363273495	-	7751	2
TraesCS3D02G261400	chr3D	363323766	363332954	-	9189	0
TraesCS3D02G261500	chr3D	363588463	363593703	+	5241	22
TraesCS3D02G261600	chr3D	363593703	363594302	+	600	0
TraesCS3D02G261700	chr3D	363593990	363597923	-	3934	0
TraesCS3D02G261800	chr3D	363597923	363608944	-	11022	0
TraesCS3D02G262000	chr3D	363789759	363797701	+	7943	0
TraesCS3D02G262100	chr3D	363853222	363854578	-	1357	0
TraesCS3D02G262200	chr3D	363855681	363868685	+	13005	0
TraesCS3D02G262400	chr3D	363868487	363872404	-	3918	5
TraesCS3D02G262500	chr3D	364232311	364236279	+	3969	0
TraesCS3D02G262600	chr3D	364253568	364266181	+	12614	7
TraesCS3D02G262700	chr3D	364520653	364522957	+	2305	0
TraesCS3D02G262800	chr3D	364660014	364664053	+	4040	0
TraesCS3D02G262900	chr3D	364733885	364736282	+	2398	17
TraesCS3D02G263000	chr3D	365051793	365054813	-	3021	0
TraesCS3D02G263100	chr3D	365092767	365094177	+	1411	0
TraesCS3D02G263200	chr3D	365329141	365333652	+	4512	0
TraesCS3D02G263300	chr3D	365506508	365507981	-	1474	0
TraesCS3D02G263400	chr3D	365518589	365522962	+	4374	1
TraesCS3D02G263500	chr3D	365525235	365526651	-	1417	0
TraesCS3D02G263600	chr3D	365527024	365533151	+	6128	0
TraesCS3D02G263700	chr3D	365533029	365536938	-	3910	0
TraesCS3D02G263800	chr3D	365786926	365798982	-	12057	0
TraesCS3D02G263900	chr3D	365840473	365842090	-	1618	0
TraesCS3D02G264000	chr3D	365903995	365907288	-	3294	54
TraesCS3D02G264100	chr3D	365909405	365911368	+	1964	0
TraesCS3D02G264200	chr3D	365911365	365922806	-	11442	0
TraesCS3D02G264300	chr3D	365926602	365929353	-	2752	1
TraesCS3D02G264400	chr3D	366013553	366015363	-	1811	0
TraesCS3D02G264500	chr3D	366207019	366208852	-	1834	0
TraesCS3D02G264600	chr3D	366222327	366224407	-	2081	0
TraesCS3D02G264700	chr3D	366230914	366236485	-	5572	0
TraesCS3D02G264800	chr3D	366451584	366456669	-	5086	15
TraesCS3D02G264900	chr3D	366798579	366803291	+	4713	0
TraesCS3D02G265000	chr3D	366920233	366935849	+	15617	0
TraesCS3D02G265100	chr3D	367234526	367237208	-	2683	0
TraesCS3D02G265200	chr3D	367307028	367310845	+	3818	1
TraesCS3D02G265400	chr3D	367357140	367361253	+	4114	0
TraesCS3D02G265500	chr3D	367379938	367382116	-	2179	0
TraesCS3D02G265600	chr3D	367387988	367391029	+	3042	0
TraesCS3D02G265700	chr3D	368223754	368225920	-	2167	0
TraesCS3D02G265800	chr3D	368225920	368230766	-	4847	0
TraesCS3D02G265900	chr3D	368880399	368887268	-	6870	1
TraesCS3D02G266000	chr3D	368949870	368951520	-	1651	0
TraesCS3D02G266100	chr3D	368956947	368961787	-	4841	43
TraesCS3D02G266200	chr3D	369403409	369409743	+	6335	7
TraesCS3D02G266300	chr3D	369409152	369417492	-	8341	0
TraesCS3D02G266400	chr3D	369790549	369803074	+	12526	6
TraesCS3D02G266500	chr3D	370070070	370071621	+	1552	0
TraesCS3D02G266600	chr3D	370106548	370107964	+	1417	0
TraesCS3D02G266700	chr3D	370107377	370112784	-	5408	0
TraesCS3D02G266800	chr3D	370112818	370121354	+	8537	10
TraesCS3D02G266900	chr3D	370123379	370127365	+	3987	0
TraesCS3D02G267000	chr3D	370533318	370542637	+	9320	16
TraesCS3D02G267100	chr3D	370618297	370621356	+	3060	5
TraesCS3D02G267200	chr3D	371092666	371099043	+	6378	0
TraesCS3D02G267400	chr3D	371146195	371151313	-	5119	0
TraesCS3D02G267500	chr3D	371364567	371368412	-	3846	0
TraesCS3D02G267600	chr3D	371440651	371451327	+	10677	38
TraesCS3D02G267700	chr3D	371868557	371870708	-	2152	0
TraesCS3D02G267800	chr3D	371869810	371871088	+	1279	0
TraesCS3D02G267900	chr3D	371890101	371897485	-	7385	7
TraesCS3D02G268000	chr3D	372314332	372316458	+	2127	15
TraesCS3D02G268100	chr3D	372315820	372319623	-	3804	26
TraesCS3D02G268200	chr3D	372324265	372329480	-	5216	0
TraesCS3D02G268300	chr3D	372614538	372626964	-	12427	0
TraesCS3D02G268400	chr3D	372627030	372632247	+	5218	12
TraesCS3D02G268500	chr3D	372632544	372634455	+	1912	0
TraesCS3D02G268600	chr3D	373318092	373326985	+	8894	0
TraesCS3D02G268700	chr3D	373326810	373329768	-	2959	107
TraesCS3D02G268800	chr3D	373472698	373492609	+	19912	0
TraesCS3D02G268900	chr3D	373599427	373603540	-	4114	34
TraesCS3D02G269000	chr3D	373804548	373810711	-	6164	0
TraesCS3D02G269100	chr3D	373831596	373834766	-	3171	0
TraesCS3D02G269200	chr3D	373841786	373844025	-	2240	0
TraesCS3D02G269300	chr3D	374012109	374014973	+	2865	0
TraesCS3D02G269400	chr3D	374058948	374062446	+	3499	0
TraesCS3D02G269500	chr3D	374067455	374069518	-	2064	7
TraesCS3D02G269700	chr3D	374204888	374211351	-	6464	0
TraesCS3D02G269600	chr3D	374206055	374208824	+	2770	23
TraesCS3D02G269800	chr3D	374355604	374360740	+	5137	25
TraesCS3D02G269900	chr3D	374378525	374396377	+	17853	0
TraesCS3D02G270000	chr3D	374687598	374689431	+	1834	0
TraesCS3D02G270100	chr3D	374926545	374929651	+	3107	174
TraesCS3D02G270200	chr3D	374927103	374931375	-	4273	0
TraesCS3D02G270300	chr3D	374933286	374940196	-	6911	0
TraesCS3D02G270400	chr3D	374970105	374983219	-	13115	1
TraesCS3D02G270500	chr3D	375192883	375199704	+	6822	15
TraesCS3D02G270600	chr3D	375201960	375203765	-	1806	0
TraesCS3D02G270700	chr3D	375210511	375216133	+	5623	0
TraesCS3D02G270900	chr3D	375688717	375700828	+	12112	1
TraesCS3D02G271000	chr3D	375721194	375723439	-	2246	0
TraesCS3D02G271100	chr3D	376157685	376162338	+	4654	0
TraesCS3D02G271200	chr3D	376162338	376166857	+	4520	1
TraesCS3D02G271300	chr3D	376168441	376170141	-	1701	3
TraesCS3D02G271400	chr3D	376261671	376265968	+	4298	78
TraesCS3D02G271500	chr3D	376266169	376274062	+	7894	4
TraesCS3D02G271600	chr3D	376814127	376817662	+	3536	3
TraesCS3D02G271700	chr3D	376818665	376826513	-	7849	0
TraesCS3D02G271800	chr3D	376917749	376920914	-	3166	10
TraesCS3D02G271900	chr3D	376921457	376925806	-	4350	14
TraesCS3D02G272000	chr3D	377186417	377188524	-	2108	0
TraesCS3D02G272100	chr3D	377195964	377203199	-	7236	32
TraesCS3D02G272200	chr3D	377881782	377894813	-	13032	0
TraesCS3D02G272300	chr3D	378024343	378029453	+	5111	0
TraesCS3D02G272400	chr3D	378031364	378036766	-	5403	0
TraesCS3D02G272500	chr3D	378142755	378145331	+	2577	0
TraesCS3D02G272600	chr3D	378200798	378202597	+	1800	0
TraesCS3D02G272700	chr3D	378229762	378237225	+	7464	17
TraesCS3D02G272800	chr3D	378239228	378244695	+	5468	0
TraesCS3D02G272900	chr3D	378529151	378531444	+	2294	7
TraesCS3D02G273000	chr3D	378570849	378576359	-	5511	0
TraesCS3D02G273100	chr3D	378576469	378578650	+	2182	0
TraesCS3D02G273200	chr3D	378922472	378926538	+	4067	0
TraesCS3D02G273300	chr3D	378927952	378932587	-	4636	0
TraesCS3D02G273400	chr3D	379227954	379231315	+	3362	2
TraesCS3D02G273500	chr3D	379486823	379491540	+	4718	0
TraesCS3D02G273600	chr3D	379534906	379539827	-	4922	0
TraesCS3D02G273800	chr3D	379813985	379822881	+	8897	0
TraesCS3D02G273900	chr3D	379822881	379831421	+	8541	0
TraesCS3D02G274000	chr3D	380043891	380046225	-	2335	0
TraesCS3D02G274100	chr3D	380097107	380099213	+	2107	0
TraesCS3D02G274200	chr3D	380123584	380132949	+	9366	0
TraesCS3D02G274300	chr3D	380306757	380309274	+	2518	0
TraesCS3D02G274400	chr3D	380478418	380485872	-	7455	0
TraesCS3D02G274500	chr3D	380593676	380596783	-	3108	0
TraesCS3D02G274600	chr3D	380813634	380816862	+	3229	0
TraesCS3D02G274700	chr3D	380861003	380895712	+	34710	0
TraesCS3D02G274800	chr3D	380979345	380981022	+	1678	0
TraesCS3D02G274900	chr3D	381180775	381189071	+	8297	8
TraesCS3D02G275000	chr3D	381626009	381634068	+	8060	10
TraesCS3D02G275100	chr3D	381630399	381632860	-	2462	0
TraesCS3D02G275200	chr3D	381633324	381642094	-	8771	0
TraesCS3D02G275300	chr3D	381881587	381888097	-	6511	0
TraesCS3D02G275400	chr3D	381984927	381991645	+	6719	0
TraesCS3D02G275500	chr3D	381989604	381995438	-	5835	0
TraesCS3D02G275600	chr3D	382097840	382104184	+	6345	0
TraesCS3D02G275700	chr3D	382102134	382118296	-	16163	0
TraesCS3D02G275800	chr3D	382497383	382505659	-	8277	0
TraesCS3D02G275900	chr3D	382628319	382632116	-	3798	0
TraesCS3D02G276000	chr3D	382740154	382754014	+	13861	1
TraesCS3D02G276100	chr3D	382805129	382808164	-	3036	0
TraesCS3D02G276200	chr3D	383108644	383113441	-	4798	0
TraesCS3D02G276300	chr3D	383170468	383172684	-	2217	0
TraesCS3D02G276400	chr3D	383531277	383533634	+	2358	1
TraesCS3D02G276500	chr3D	383534257	383537361	+	3105	0
TraesCS3D02G276600	chr3D	383544476	383548591	-	4116	56
TraesCS3D02G276700	chr3D	383592089	383594285	-	2197	0
TraesCS3D02G276800	chr3D	383995989	384005726	+	9738	0
TraesCS3D02G276900	chr3D	384247451	384252883	+	5433	33
TraesCS3D02G277000	chr3D	384441854	384447939	+	6086	0
TraesCS3D02G277100	chr3D	384490108	384494715	-	4608	0
TraesCS3D02G277200	chr3D	384566183	384567785	-	1603	0
TraesCS3D02G277300	chr3D	384573472	384578029	-	4558	0
TraesCS3D02G277400	chr3D	384649389	384650721	-	1333	0
TraesCS3D02G277500	chr3D	384655196	384656820	+	1625	0
TraesCS3D02G277600	chr3D	384659238	384661477	+	2240	84
TraesCS3D02G277700	chr3D	384659427	384666952	-	7526	19
TraesCS3D02G277800	chr3D	384850247	384856001	-	5755	2
TraesCS3D02G277900	chr3D	384856667	384867700	+	11034	0
TraesCS3D02G278000	chr3D	385155679	385163207	+	7529	0
TraesCS3D02G278100	chr3D	385422273	385427800	-	5528	0
TraesCS3D02G278200	chr3D	385427800	385431727	-	3928	0
TraesCS3D02G278300	chr3D	385433786	385469685	+	35900	0
TraesCS3D02G278400	chr3D	385470911	385475649	-	4739	0
TraesCS3D02G278500	chr3D	386291291	386300453	+	9163	0
TraesCS3D02G278600	chr3D	386299891	386303049	-	3159	0
TraesCS3D02G278700	chr3D	386428636	386433113	-	4478	0
TraesCS3D02G278800	chr3D	386433323	386439810	+	6488	35
TraesCS3D02G278900	chr3D	386438944	386440645	-	1702	0
TraesCS3D02G279000	chr3D	386607120	386615820	-	8701	1
TraesCS3D02G279100	chr3D	386724851	386727978	-	3128	82
TraesCS3D02G279200	chr3D	386776533	386778117	+	1585	0
TraesCS3D02G279300	chr3D	387313119	387315888	-	2770	0
TraesCS3D02G279400	chr3D	387352181	387355478	-	3298	0
TraesCS3D02G279500	chr3D	387555612	387558246	-	2635	0
TraesCS3D02G279600	chr3D	387707922	387710355	-	2434	1
TraesCS3D02G279700	chr3D	388311033	388313665	-	2633	30
TraesCS3D02G279800	chr3D	388323198	388325981	-	2784	4
TraesCS3D02G279900	chr3D	388329898	388338213	-	8316	0
TraesCS3D02G280000	chr3D	388379231	388382363	-	3133	0
TraesCS3D02G280100	chr3D	388399620	388414835	+	15216	0
TraesCS3D02G280200	chr3D	388436602	388442556	-	5955	0
TraesCS3D02G280300	chr3D	388444249	388449545	+	5297	0
TraesCS3D02G280400	chr3D	388449254	388452107	-	2854	0
TraesCS3D02G280500	chr3D	388516021	388520108	+	4088	0
TraesCS3D02G280600	chr3D	388532497	388534608	-	2112	0
TraesCS3D02G280700	chr3D	388535098	388538436	+	3339	0
TraesCS3D02G280900	chr3D	388790716	388794792	-	4077	0
TraesCS3D02G281000	chr3D	389071923	389074371	-	2449	0
TraesCS3D02G281100	chr3D	389074659	389084625	-	9967	6
TraesCS3D02G281200	chr3D	389136565	389137762	+	1198	0
TraesCS3D02G281400	chr3D	389211717	389214101	+	2385	0
TraesCS3D02G281500	chr3D	389265487	389267880	+	2394	0
TraesCS3D02G281600	chr3D	389631239	389635295	+	4057	0
TraesCS3D02G281700	chr3D	389905682	389911866	+	6185	0
TraesCS3D02G281800	chr3D	389911657	389913576	-	1920	0
TraesCS3D02G281900	chr3D	390041400	390043797	+	2398	0
TraesCS3D02G282000	chr3D	390073461	390073948	+	488	0
TraesCS3D02G282100	chr3D	390073805	390076511	-	2707	69
TraesCS3D02G282200	chr3D	390198249	390201423	+	3175	0
TraesCS3D02G282300	chr3D	390410886	390413454	+	2569	0
TraesCS3D02G282400	chr3D	390412849	390414280	-	1432	0
TraesCS3D02G282500	chr3D	390416038	390421615	-	5578	29
TraesCS3D02G282600	chr3D	390657816	390661439	+	3624	0
TraesCS3D02G282700	chr3D	390663151	390664732	+	1582	0
TraesCS3D02G282800	chr3D	390664442	390670588	-	6147	25
TraesCS3D02G282900	chr3D	391244958	391247429	-	2472	0
TraesCS3D02G283000	chr3D	391255758	391264798	-	9041	5
TraesCS3D02G283100	chr3D	391431136	391433142	+	2007	0
TraesCS3D02G283200	chr3D	391588503	391597026	+	8524	0
TraesCS3D02G283300	chr3D	391597001	391600710	-	3710	0
TraesCS3D02G283400	chr3D	391635331	391638011	-	2681	0
TraesCS3D02G283500	chr3D	392026524	392033382	+	6859	66
TraesCS3D02G283600	chr3D	392041173	392042466	+	1294	0
TraesCS3D02G283700	chr3D	392054440	392055442	+	1003	1
TraesCS3D02G283800	chr3D	392054802	392059345	-	4544	3
TraesCS3D02G283900	chr3D	392339161	392362057	-	22897	0
TraesCS3D02G284000	chr3D	392955286	392960327	-	5042	0
TraesCS3D02G284100	chr3D	393062720	393065752	-	3033	0
TraesCS3D02G284200	chr3D	393524475	393527973	+	3499	0
TraesCS3D02G284300	chr3D	393550042	393552352	+	2311	0
TraesCS3D02G284400	chr3D	393562098	393564010	+	1913	0
TraesCS3D02G284500	chr3D	393654141	393660962	-	6822	4
TraesCS3D02G284600	chr3D	394055868	394059560	-	3693	0
TraesCS3D02G284700	chr3D	394059560	394062631	-	3072	0
TraesCS3D02G284800	chr3D	394152529	394154424	-	1896	0
TraesCS3D02G284900	chr3D	394183519	394191541	-	8023	0
TraesCS3D02G285000	chr3D	394570368	394573115	+	2748	0
TraesCS3D02G285100	chr3D	394748632	394755345	+	6714	0
TraesCS3D02G285200	chr3D	394750896	394752129	-	1234	0
TraesCS3D02G285300	chr3D	394752129	394758017	-	5889	0
TraesCS3D02G285400	chr3D	394763938	394769978	-	6041	32
TraesCS3D02G285500	chr3D	394910721	394915667	-	4947	0
TraesCS3D02G285600	chr3D	394919956	394922730	-	2775	0
TraesCS3D02G285700	chr3D	394925749	394932628	-	6880	32
TraesCS3D02G285800	chr3D	395036264	395039299	+	3036	0
TraesCS3D02G285900	chr3D	395038315	395041105	-	2791	6
TraesCS3D02G286000	chr3D	395041105	395045629	-	4525	0
TraesCS3D02G286100	chr3D	395051097	395052740	-	1644	0
TraesCS3D02G286200	chr3D	395055856	395061347	+	5492	0
TraesCS3D02G286300	chr3D	395063232	395065769	-	2538	0
TraesCS3D02G286400	chr3D	395077613	395082831	-	5219	0
TraesCS3D02G286500	chr3D	395515818	395520520	+	4703	75
TraesCS3D02G286600	chr3D	395641840	395643747	+	1908	0
TraesCS3D02G286700	chr3D	395643010	395644373	-	1364	0
TraesCS3D02G286800	chr3D	395648998	395650677	-	1680	0
TraesCS3D02G286900	chr3D	395665416	395667327	-	1912	4
TraesCS3D02G287000	chr3D	395832956	395834780	+	1825	0
TraesCS3D02G287100	chr3D	395837260	395839557	+	2298	0
TraesCS3D02G287200	chr3D	395858428	395861151	+	2724	0
TraesCS3D02G287300	chr3D	396204891	396207282	+	2392	0
TraesCS3D02G287400	chr3D	396207962	396211286	+	3325	41
TraesCS3D02G287500	chr3D	396211286	396214613	+	3328	0
TraesCS3D02G287600	chr3D	396434164	396436507	+	2344	0
TraesCS3D02G287700	chr3D	396601454	396609813	-	8360	0
TraesCS3D02G287800	chr3D	396671122	396673534	-	2413	0
TraesCS3D02G287900	chr3D	397091355	397094225	-	2871	0
TraesCS3D02G288000	chr3D	397134667	397139833	-	5167	64
TraesCS3D02G288100	chr3D	397156497	397160013	-	3517	0
TraesCS3D02G288200	chr3D	397161198	397169221	-	8024	0
TraesCS3D02G288300	chr3D	397181823	397185339	-	3517	0
TraesCS3D02G288500	chr3D	397201488	397203074	+	1587	0
TraesCS3D02G288600	chr3D	397208338	397213861	-	5524	0
TraesCS3D02G288700	chr3D	397777708	397784443	+	6736	0
TraesCS3D02G288800	chr3D	397797405	397800474	-	3070	0
TraesCS3D02G289000	chr3D	398299634	398303022	+	3389	0
TraesCS3D02G289100	chr3D	398400967	398407146	-	6180	36
TraesCS3D02G289200	chr3D	398957788	398959946	+	2159	0
TraesCS3D02G289300	chr3D	399293861	399300372	+	6512	5
TraesCS3D02G289400	chr3D	399370024	399378206	+	8183	83
TraesCS3D02G289500	chr3D	399378779	399381406	-	2628	0
TraesCS3D02G289600	chr3D	399653821	399660840	+	7020	0
TraesCS3D02G289700	chr3D	399674664	399677234	-	2571	0
TraesCS3D02G289800	chr3D	399837419	399839807	-	2389	0
TraesCS3D02G289900	chr3D	399855318	399859128	-	3811	1
TraesCS3D02G290000	chr3D	400272972	400277644	-	4673	126
TraesCS3D02G290100	chr3D	400309956	400315041	-	5086	4
TraesCS3D02G290200	chr3D	400338007	400339700	-	1694	89
TraesCS3D02G290300	chr3D	400447752	400450860	+	3109	0
TraesCS3D02G290400	chr3D	400499977	400501174	+	1198	0
TraesCS3D02G290500	chr3D	400681716	400694786	+	13071	0
TraesCS3D02G290600	chr3D	400735421	400747005	+	11585	0
TraesCS3D02G290700	chr3D	400789397	400793525	-	4129	0
TraesCS3D02G290800	chr3D	400991309	400993952	+	2644	4
TraesCS3D02G290900	chr3D	400993810	400998520	-	4711	0
TraesCS3D02G291000	chr3D	401048525	401051060	-	2536	0
TraesCS3D02G291100	chr3D	401171166	401172947	+	1782	0
TraesCS3D02G291200	chr3D	401172261	401179473	-	7213	0
TraesCS3D02G291300	chr3D	401291078	401306296	+	15219	0
TraesCS3D02G291400	chr3D	401305494	401310721	-	5228	163
TraesCS3D02G291600	chr3D	401671731	401680533	-	8803	0
TraesCS3D02G291500	chr3D	401672793	401674059	+	1267	0
TraesCS3D02G291700	chr3D	401870359	401874583	+	4225	0
TraesCS3D02G291800	chr3D	401874359	401876987	-	2629	0
TraesCS3D02G291900	chr3D	401881733	401884396	-	2664	44
TraesCS3D02G292000	chr3D	401887975	401890331	+	2357	0
TraesCS3D02G292100	chr3D	401892668	401899417	-	6750	2
TraesCS3D02G292200	chr3D	402463548	402465013	+	1466	0
TraesCS3D02G292300	chr3D	402491449	402494303	-	2855	4
TraesCS3D02G292400	chr3D	402535875	402537987	-	2113	0
TraesCS3D02G292500	chr3D	402683796	402694132	-	10337	0
TraesCS3D02G292600	chr3D	402694132	402699850	-	5719	0
TraesCS3D02G292700	chr3D	402746288	402747536	-	1249	0
TraesCS3D02G292800	chr3D	402773829	402775065	-	1237	0
TraesCS3D02G292900	chr3D	402777648	402781122	-	3475	0
TraesCS3D02G293000	chr3D	402795032	402796259	-	1228	0
TraesCS3D02G293100	chr3D	402796779	402809203	-	12425	0
TraesCS3D02G293200	chr3D	403352586	403354317	+	1732	0
TraesCS3D02G293300	chr3D	403692642	403695635	+	2994	0
TraesCS3D02G293400	chr3D	403702755	403704999	-	2245	0
TraesCS3D02G293500	chr3D	403933319	403938848	+	5530	0
TraesCS3D02G293600	chr3D	403939960	403941493	-	1534	0
TraesCS3D02G293700	chr3D	404008820	404015167	-	6348	17
TraesCS3D02G293800	chr3D	404438874	404442350	-	3477	0
TraesCS3D02G293900	chr3D	404472512	404473763	+	1252	0
TraesCS3D02G294000	chr3D	405307430	405312766	-	5337	0
TraesCS3D02G294100	chr3D	405370821	405378872	-	8052	0
TraesCS3D02G294200	chr3D	405810652	405818433	+	7782	5
TraesCS3D02G294300	chr3D	405817606	405823384	-	5779	10
TraesCS3D02G294400	chr3D	405839795	405842727	-	2933	0
TraesCS3D02G294500	chr3D	405844481	405846107	+	1627	0
TraesCS3D02G294700	chr3D	406150766	406153292	-	2527	0
TraesCS3D02G294800	chr3D	406156481	406165710	+	9230	0
TraesCS3D02G294900	chr3D	406400235	406404886	-	4652	5
TraesCS3D02G295000	chr3D	406410967	406413089	-	2123	0
TraesCS3D02G295100	chr3D	406770924	406773084	-	2161	0
TraesCS3D02G295200	chr3D	407229389	407237181	-	7793	0
TraesCS3D02G295300	chr3D	407386894	407393869	-	6976	0
TraesCS3D02G295400	chr3D	407745931	407748325	-	2395	0
TraesCS3D02G295500	chr3D	408314234	408318774	+	4541	0
TraesCS3D02G295600	chr3D	408318774	408320925	+	2152	0
TraesCS3D02G295800	chr3D	408655818	408657967	+	2150	0
TraesCS3D02G295900	chr3D	409009959	409012798	-	2840	0
TraesCS3D02G296000	chr3D	409019562	409022118	-	2557	0
TraesCS3D02G296100	chr3D	409917770	409927862	+	10093	9
TraesCS3D02G296200	chr3D	409929444	409934352	+	4909	0
TraesCS3D02G296300	chr3D	410300181	410302085	+	1905	0
TraesCS3D02G296400	chr3D	410317080	410320717	+	3638	0
TraesCS3D02G296500	chr3D	410411524	410416242	-	4719	0
TraesCS3D02G296600	chr3D	410517325	410518607	-	1283	0
TraesCS3D02G296700	chr3D	410518787	410523990	-	5204	52
TraesCS3D02G296800	chr3D	410540666	410544048	-	3383	0
TraesCS3D02G296900	chr3D	410663367	410666651	+	3285	16
TraesCS3D02G297000	chr3D	410666282	410674769	-	8488	8
TraesCS3D02G297100	chr3D	410900024	410901619	+	1596	0
TraesCS3D02G297200	chr3D	410969721	410973297	-	3577	0
TraesCS3D02G297300	chr3D	410982457	410991084	+	8628	0
TraesCS3D02G297400	chr3D	410990705	410993661	-	2957	0
